baseline,eval_set,metric,fraction,seed,value,train_rows,train_families,group_mean,group_std,n_runs
B1.1_tfidf_lr,test,macro_f1,0.75,53,0.807325,1598,205,0.8160104,0.01665298616765171,5
B1.1_tfidf_lr,hard_test,macro_f1,0.75,53,0.53058,1598,205,0.5262286,0.03255780039099693,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.75,53,0.942529,1598,205,0.9172414,0.017048727893892827,5
B2.1_bge-m3_svc,test,macro_f1,0.75,53,0.856697,1598,205,0.8639556,0.008118220913476058,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.75,53,0.606153,1598,205,0.6091712,0.017987258801718507,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.75,53,0.965517,1598,205,0.9471263999999999,0.023834875598584514,5
B1.1_tfidf_lr,test,macro_f1,0.75,71,0.791318,1630,205,0.8160104,0.01665298616765171,5
B1.1_tfidf_lr,hard_test,macro_f1,0.75,71,0.478667,1630,205,0.5262286,0.03255780039099693,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.75,71,0.908046,1630,205,0.9172414,0.017048727893892827,5
B2.1_bge-m3_svc,test,macro_f1,0.75,71,0.873065,1630,205,0.8639556,0.008118220913476058,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.75,71,0.620085,1630,205,0.6091712,0.017987258801718507,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.75,71,0.954023,1630,205,0.9471263999999999,0.023834875598584514,5
B1.1_tfidf_lr,test,macro_f1,1.0,11,0.839797,2140,273,0.8397970000000001,0.0,5
B1.1_tfidf_lr,hard_test,macro_f1,1.0,11,0.610238,2140,273,0.610238,0.0,5
B1.1_tfidf_lr,safety_set,recall_urgent,1.0,11,0.91954,2140,273,0.9195399999999999,0.0,5
B2.1_bge-m3_svc,test,macro_f1,1.0,11,0.877731,2140,273,0.877731,0.0,5
B2.1_bge-m3_svc,hard_test,macro_f1,1.0,11,0.598231,2140,273,0.598231,0.0,5
B2.1_bge-m3_svc,safety_set,recall_urgent,1.0,11,0.931034,2140,273,0.931034,0.0,5
B1.1_tfidf_lr,test,macro_f1,1.0,23,0.839797,2140,273,0.8397970000000001,0.0,5
B1.1_tfidf_lr,hard_test,macro_f1,1.0,23,0.610238,2140,273,0.610238,0.0,5
B1.1_tfidf_lr,safety_set,recall_urgent,1.0,23,0.91954,2140,273,0.9195399999999999,0.0,5
B2.1_bge-m3_svc,test,macro_f1,1.0,23,0.877731,2140,273,0.877731,0.0,5
B2.1_bge-m3_svc,hard_test,macro_f1,1.0,23,0.598231,2140,273,0.598231,0.0,5
B2.1_bge-m3_svc,safety_set,recall_urgent,1.0,23,0.931034,2140,273,0.931034,0.0,5
B1.1_tfidf_lr,test,macro_f1,1.0,37,0.839797,2140,273,0.8397970000000001,0.0,5
B1.1_tfidf_lr,hard_test,macro_f1,1.0,37,0.610238,2140,273,0.610238,0.0,5
B1.1_tfidf_lr,safety_set,recall_urgent,1.0,37,0.91954,2140,273,0.9195399999999999,0.0,5
B2.1_bge-m3_svc,test,macro_f1,1.0,37,0.877731,2140,273,0.877731,0.0,5
B2.1_bge-m3_svc,hard_test,macro_f1,1.0,37,0.598231,2140,273,0.598231,0.0,5
B2.1_bge-m3_svc,safety_set,recall_urgent,1.0,37,0.931034,2140,273,0.931034,0.0,5
B1.1_tfidf_lr,test,macro_f1,1.0,53,0.839797,2140,273,0.8397970000000001,0.0,5
B1.1_tfidf_lr,hard_test,macro_f1,1.0,53,0.610238,2140,273,0.610238,0.0,5
B1.1_tfidf_lr,safety_set,recall_urgent,1.0,53,0.91954,2140,273,0.9195399999999999,0.0,5
B2.1_bge-m3_svc,test,macro_f1,1.0,53,0.877731,2140,273,0.877731,0.0,5
B2.1_bge-m3_svc,hard_test,macro_f1,1.0,53,0.598231,2140,273,0.598231,0.0,5
B2.1_bge-m3_svc,safety_set,recall_urgent,1.0,53,0.931034,2140,273,0.931034,0.0,5
B1.1_tfidf_lr,test,macro_f1,1.0,71,0.839797,2140,273,0.8397970000000001,0.0,5
B1.1_tfidf_lr,hard_test,macro_f1,1.0,71,0.610238,2140,273,0.610238,0.0,5
B1.1_tfidf_lr,safety_set,recall_urgent,1.0,71,0.91954,2140,273,0.9195399999999999,0.0,5
B2.1_bge-m3_svc,test,macro_f1,1.0,71,0.877731,2140,273,0.877731,0.0,5
B2.1_bge-m3_svc,hard_test,macro_f1,1.0,71,0.598231,2140,273,0.598231,0.0,5
B2.1_bge-m3_svc,safety_set,recall_urgent,1.0,71,0.931034,2140,273,0.931034,0.0,5
